player1,player2,minutes
Castle,Wembanyama,3471.9
Castle,Vassell,3432.5
Wembanyama,Vassell,3432.5
Castle,Barnes,3392.7
Barnes,Wembanyama,3392.7
Barnes,Vassell,3392.7
Champagnie,Castle,2956.2
Champagnie,Barnes,2956.2
Champagnie,Wembanyama,2956.2
Champagnie,Vassell,2956.2
Champagnie,Fox,2031.7
Castle,Fox,2031.7
Barnes,Fox,2031.7
Wembanyama,Fox,2031.7
Vassell,Fox,2031.7
Champagnie,Johnson,1616.0
Castle,Johnson,1616.0
Barnes,Johnson,1616.0
Wembanyama,Johnson,1616.0
Johnson,Vassell,1616.0
Johnson,Fox,1616.0
Champagnie,Paul,1587.5
Castle,Paul,1587.5
Barnes,Paul,1587.5
Paul,Wembanyama,1587.5
Paul,Johnson,1587.5
Paul,Vassell,1587.5
Paul,Fox,1587.5
Champagnie,Sochan,1042.6
Castle,Sochan,1042.6
Barnes,Sochan,1042.6
Paul,Sochan,1042.6
Wembanyama,Sochan,1042.6
Johnson,Sochan,1042.6
Vassell,Sochan,1042.6
Sochan,Fox,1042.6
Champagnie,Harper,1011.2
Castle,Harper,1011.2
Barnes,Harper,1011.2
Paul,Harper,1011.2
Wembanyama,Harper,1011.2
Johnson,Harper,1011.2
Vassell,Harper,1011.2
Sochan,Harper,1011.2
Fox,Harper,1011.2
Champagnie,Kornet,939.6
Castle,Kornet,939.6
Barnes,Kornet,939.6
Paul,Kornet,939.6
Wembanyama,Kornet,939.6
Johnson,Kornet,939.6
Vassell,Kornet,939.6
Sochan,Kornet,939.6
Fox,Kornet,939.6
Kornet,Harper,939.6
Champagnie,Collins,450.0
Castle,Collins,450.0
Barnes,Collins,450.0
Paul,Collins,450.0
Wembanyama,Collins,450.0
Johnson,Collins,450.0
Collins,Vassell,450.0
Collins,Sochan,450.0
Collins,Fox,450.0
Collins,Kornet,450.0
Collins,Harper,450.0
Champagnie,Bryant,250.4
Castle,Bryant,250.4
Barnes,Bryant,250.4
Paul,Bryant,250.4
Wembanyama,Bryant,250.4
Johnson,Bryant,250.4
Collins,Bryant,250.4
Vassell,Bryant,250.4
Sochan,Bryant,250.4
Fox,Bryant,250.4
Kornet,Bryant,250.4
Harper,Bryant,250.4
Champagnie,Bassey,190.5
Castle,Bassey,190.5
Barnes,Bassey,190.5
Paul,Bassey,190.5
Wembanyama,Bassey,190.5
Johnson,Bassey,190.5
Collins,Bassey,190.5
Vassell,Bassey,190.5
Bassey,Sochan,190.5
Bassey,Fox,190.5
Bassey,Kornet,190.5
Bassey,Harper,190.5
Bassey,Bryant,190.5
Champagnie,Jones,157.3
Castle,Jones,157.3
Barnes,Jones,157.3
Paul,Jones,157.3
Wembanyama,Jones,157.3
Johnson,Jones,157.3
Collins,Jones,157.3
Vassell,Jones,157.3
Jones,Bassey,157.3
Jones,Sochan,157.3
Jones,Fox,157.3
Jones,Kornet,157.3
Jones,Harper,157.3
Jones,Bryant,157.3
Champagnie,Wesley,105.4
