stint_id,game_file,period,start_time,end_time,duration_seconds,duration_minutes,event_count,points,event_types,shot_results
1,wemby_playbyplay_2024-25_0022400015.csv,1,PT12M00.00S,PT06M23.00S,337,5.616666666666666,13,43,"{'Rebound', 'Made Shot', 'Foul', 'Missed Shot', 'Jump Ball', 'Violation', 'Substitution'}","{'Missed', nan, 'Made'}"
2,wemby_playbyplay_2024-25_0022400015.csv,1,PT01M28.00S,PT00M30.90S,58,0.9666666666666667,4,0,"{'Turnover', 'Missed Shot'}","{'Missed', nan}"
3,wemby_playbyplay_2024-25_0022400015.csv,2,PT11M06.00S,PT10M40.00S,26,0.43333333333333335,3,67,"{'Rebound', nan, 'Made Shot'}","{nan, 'Made'}"
4,wemby_playbyplay_2024-25_0022400015.csv,2,PT08M15.00S,PT05M18.00S,177,2.95,8,176,"{'Rebound', 'Made Shot', 'Turnover', 'Missed Shot', 'Substitution'}","{'Missed', nan, 'Made'}"
5,wemby_playbyplay_2024-25_0022400015.csv,3,PT11M22.00S,PT09M38.00S,104,1.7333333333333334,6,133,"{'Turnover', 'Rebound', 'Made Shot'}","{nan, 'Made'}"
6,wemby_playbyplay_2024-25_0022400015.csv,3,PT07M31.00S,PT04M20.00S,191,3.183333333333333,6,152,"{'Rebound', 'Made Shot', nan, 'Missed Shot', 'Substitution'}","{'Missed', nan, 'Made'}"
7,wemby_playbyplay_2024-25_0022400015.csv,3,PT01M37.00S,PT00M28.80S,69,1.15,3,176,"{'Rebound', 'Missed Shot', 'Made Shot'}","{'Missed', nan, 'Made'}"
8,wemby_playbyplay_2024-25_0022400015.csv,4,PT11M18.00S,PT06M41.00S,277,4.616666666666666,8,0,"{'Rebound', nan, 'Foul', 'Missed Shot', 'Substitution'}","{'Missed', nan}"
9,wemby_playbyplay_2024-25_0022400015.csv,4,PT04M04.00S,PT00M04.00S,240,4.0,4,439,"{'Rebound', 'Missed Shot', 'Made Shot'}","{'Missed', nan, 'Made'}"
10,wemby_playbyplay_2024-25_0022400038.csv,1,PT11M23.00S,PT11M23.00S,0,0.0,1,0,{'Missed Shot'},{'Missed'}
11,wemby_playbyplay_2024-25_0022400038.csv,1,PT09M18.00S,PT08M23.00S,55,0.9166666666666666,4,79,"{'Free Throw', 'Made Shot'}","{nan, 'Made'}"
12,wemby_playbyplay_2024-25_0022400038.csv,1,PT06M22.00S,PT06M22.00S,0,0.0,1,0,{'Substitution'},{nan}
13,wemby_playbyplay_2024-25_0022400038.csv,1,PT01M04.00S,PT00M01.00S,63,1.05,2,0,{'Missed Shot'},{'Missed'}
14,wemby_playbyplay_2024-25_0022400038.csv,2,PT10M20.00S,PT06M31.00S,229,3.816666666666667,11,355,"{'Rebound', 'Made Shot', nan, 'Missed Shot', 'Substitution'}","{'Missed', nan, 'Made'}"
15,wemby_playbyplay_2024-25_0022400038.csv,2,PT03M50.00S,PT00M25.60S,205,3.4166666666666665,5,360,"{'Rebound', 'Missed Shot', 'Made Shot'}","{'Missed', nan, 'Made'}"
16,wemby_playbyplay_2024-25_0022400038.csv,3,PT11M42.00S,PT09M48.00S,114,1.9,4,282,"{'Rebound', 'Missed Shot', 'Made Shot'}","{'Missed', nan, 'Made'}"
17,wemby_playbyplay_2024-25_0022400038.csv,3,PT07M05.00S,PT05M24.00S,101,1.6833333333333333,4,0,"{'Turnover', nan, 'Substitution', 'Missed Shot'}","{'Missed', nan}"
18,wemby_playbyplay_2024-25_0022400038.csv,3,PT01M27.00S,PT00M04.90S,83,1.3833333333333333,4,189,"{'Turnover', 'Rebound', 'Made Shot'}","{nan, 'Made'}"
19,wemby_playbyplay_2024-25_0022400038.csv,4,PT07M07.00S,PT05M21.00S,106,1.7666666666666666,4,0,"{'Rebound', nan, 'Foul', 'Substitution'}",{nan}
20,wemby_playbyplay_2024-25_0022400038.csv,4,PT03M05.00S,PT00M56.60S,129,2.15,3,227,"{'Missed Shot', 'Made Shot'}","{'Missed', 'Made'}"
21,wemby_playbyplay_2024-25_0022400057.csv,1,PT10M18.00S,PT06M38.00S,220,3.6666666666666665,6,0,"{'Rebound', 'Substitution', 'Missed Shot'}","{'Missed', nan}"
22,wemby_playbyplay_2024-25_0022400057.csv,1,PT00M22.20S,PT00M15.10S,7,0.11666666666666667,2,0,{'Missed Shot'},{'Missed'}
23,wemby_playbyplay_2024-25_0022400057.csv,2,PT11M48.00S,PT07M09.00S,279,4.65,8,0,"{'Rebound', 'Turnover', nan, 'Missed Shot', 'Substitution'}","{'Missed', nan}"
24,wemby_playbyplay_2024-25_0022400057.csv,2,PT00M00.00S,PT00M00.00S,0,0.0,1,0,{'Missed Shot'},{'Missed'}
25,wemby_playbyplay_2024-25_0022400057.csv,3,PT11M47.00S,PT07M40.00S,247,4.116666666666666,16,719,"{'Rebound', 'Made Shot', nan, 'Foul', 'Missed Shot', 'Violation', 'Free Throw'}","{'Missed', nan, 'Made'}"
26,wemby_playbyplay_2024-25_0022400057.csv,3,PT04M55.00S,PT04M16.00S,39,0.65,2,0,"{'Rebound', 'Substitution'}",{nan}
27,wemby_playbyplay_2024-25_0022400057.csv,3,PT01M48.00S,PT01M10.00S,38,0.6333333333333333,3,0,"{'Turnover', 'Rebound', 'Foul'}",{nan}
28,wemby_playbyplay_2024-25_0022400057.csv,4,PT10M02.00S,PT00M06.00S,596,9.933333333333334,10,176,"{'Rebound', 'Made Shot', 'Turnover', 'Foul', 'Missed Shot', 'Substitution'}","{'Missed', nan, 'Made'}"
29,wemby_playbyplay_2024-25_0022400074.csv,1,PT09M47.00S,PT07M16.00S,151,2.5166666666666666,6,0,"{'Turnover', 'Rebound', 'Substitution', 'Missed Shot'}","{'Missed', nan}"
30,wemby_playbyplay_2024-25_0022400074.csv,1,PT02M18.00S,PT01M03.00S,75,1.25,3,42,"{'Turnover', 'Rebound', 'Made Shot'}","{nan, 'Made'}"
